Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,SOL-USD,SOL-USD,SOL-USD,SOL-USD,SOL-USD,XRP-USD,XRP-USD,XRP-USD,XRP-USD,XRP-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,BNB-USD,BNB-USD,BNB-USD,BNB-USD,BNB-USD
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-31,27700.529296875,27831.677734375,26866.453125,27219.658203125,15656371534,21.255285263061523,21.318878173828125,20.468751907348633,20.82450294494629,246152341,0.5218949913978577,0.5271980166435242,0.50245600938797,0.5173860192298889,1585723566,1901.0982666015625,1907.035400390625,1852.0947265625,1874.1304931640625,5984512548,311.6957092285156,311.8466491699219,305.37640380859375,306.86669921875,474410245
2023-06-01,27218.412109375,27346.10546875,26671.720703125,26819.97265625,14678970415,20.824892044067383,20.97260856628418,20.46446990966797,20.50221824645996,209047110,0.5173879861831665,0.5173889994621277,0.5031989812850952,0.5073170065879822,1095700204,1873.9146728515625,1887.705322265625,1846.2274169921875,1862.201416015625,5640027197,306.8828125,307.61376953125,303.6445617675781,304.9532775878906,354897855
2023-06-02,26824.556640625,27303.861328125,26574.64453125,27249.58984375,14837415000,20.502729415893555,21.35614013671875,20.38359260559082,21.25759506225586,237609887,0.5073040127754211,0.5263280272483826,0.5049690008163452,0.5253869891166687,1070731055,1862.4237060546875,1910.2784423828125,1851.9647216796875,1907.256591796875,6097746022,304.95068359375,308.3961486816406,303.7401428222656,307.4237976074219,382256220
2023-06-03,27252.32421875,27317.052734375,26958.00390625,27075.12890625,8385597470,21.258623123168945,21.335468292236328,21.017078399658203,21.15556526184082,144933830,0.5253559947013855,0.5299130082130432,0.5170459747314453,0.5193510055541992,684948363,1907.4207763671875,1908.822265625,1885.4854736328125,1892.4124755859375,3472274607,307.43389892578125,308.1976623535156,305.64898681640625,306.7201232910156,260995871
2023-06-04,27075.123046875,27407.01953125,26968.224609375,27119.06640625,9360912318,21.15740966796875,22.284591674804688,21.061323165893555,21.8189754486084,317802167,0.5193660259246826,0.5447109937667847,0.5166140198707581,0.5359110236167908,943439712,1892.398193359375,1912.2056884765625,1885.65185546875,1890.5135498046875,3747042696,306.71844482421875,307.58392333984375,305.0121154785156,305.15679931640625,273449324
2023-06-05,27123.109375,27129.982421875,25445.16796875,25760.09765625,21513292646,21.821796417236328,22.042024612426758,19.423831939697266,20.07505989074707,594214946,0.536005973815918,0.5414329767227173,0.4935460090637207,0.5103939771652222,2077075618,1890.4176025390625,1890.6405029296875,1780.2115478515625,1811.828369140625,9246593033,305.1672668457031,305.1672668457031,272.8895568847656,276.8892517089844,928515688
2023-06-06,25732.109375,27313.8203125,25434.8671875,27238.783203125,21929670693,20.0625057220459,20.683780670166016,19.320531845092773,20.398483276367188,441408235,0.5103830099105835,0.5318089723587036,0.49823400378227234,0.5304639935493469,1595950808,1810.5814208984375,1896.22265625,1801.4052734375,1884.494873046875,8704411776,276.9336242675781,285.5967102050781,273.72393798828125,281.4955749511719,691784529
2023-06-07,27235.650390625,27332.181640625,26146.98828125,26345.998046875,19530045082,20.399314880371094,20.486583709716797,18.5499210357666,18.6342830657959,390444801,0.5304279923439026,0.5371230244636536,0.5089340209960938,0.5196279883384705,1649651366,1884.3729248046875,1893.80908203125,1822.3031005859375,1832.39599609375,7919894455,281.4814453125,281.4814453125,256.095703125,259.3914489746094,958739195
2023-06-08,26347.654296875,26797.513671875,26246.6640625,26508.216796875,11904824295,18.63564682006836,19.0777645111084,18.294736862182617,18.909475326538086,258460307,0.5196120142936707,0.5273330211639404,0.5169619917869568,0.5245460271835327,954016646,1832.5135498046875,1861.1361083984375,1830.1650390625,1846.3018798828125,4536041931,259.4009094238281,266.8072204589844,257.7645263671875,262.14849853515625,562863852
2023-06-09,26505.923828125,26770.2890625,26339.314453125,26480.375,11015551640,18.908403396606445,19.299476623535156,17.161293029785156,17.37969970703125,463344687,0.524541974067688,0.5398839712142944,0.5216730237007141,0.5379170179367065,1233816475,1846.077880859375,1854.824951171875,1828.5445556640625,1840.2252197265625,4610831509,262.1507873535156,263.9214172363281,256.5093994140625,260.7160949707031,491429998
2023-06-10,26481.76171875,26531.044921875,25501.8359375,25851.240234375,19872933189,17.3813533782959,17.39295768737793,13.379448890686035,15.65610122680664,1230339924,0.5379719734191895,0.5380300283432007,0.4823650121688843,0.5081989765167236,2110109968,1840.3919677734375,1844.78564453125,1721.443115234375,1752.384765625,10788500406,260.69866943359375,260.7160949707031,233.169189453125,239.08908081054688,1068424942
2023-06-11,25854.03125,26203.439453125,25668.986328125,25940.16796875,10732609603,15.654450416564941,16.115692138671875,15.198493003845215,15.558775901794434,446176848,0.5081899762153625,0.5283970236778259,0.504347026348114,0.5212209820747375,828115958,1752.527587890625,1776.84716796875,1741.1104736328125,1753.415283203125,4559112981,239.08741760253906,239.3482666015625,234.43069458007812,235.4387969970703,376213808
2023-06-12,25934.28515625,26087.919921875,25675.197265625,25902.5,11677889997,15.557231903076172,15.606237411499023,14.817190170288086,15.196707725524902,384209938,0.5211629867553711,0.5275239944458008,0.5110899806022644,0.52572101354599,1199140307,1753.075439453125,1757.6597900390625,1722.9063720703125,1742.5286865234375,6031384958,235.40391540527344,238.4732208251953,222.0713348388672,231.0514373779297,1014433334
